SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:8:47

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-1.897	16.351	33.234	15.793	85.463	15.967	11.172	-15.761	
-1.899	16.351	33.234	15.843	85.463	16.046	11.180	-15.765	
-1.902	16.351	33.233	15.894	85.463	16.127	11.189	-15.769	
-1.904	16.351	33.232	15.946	85.462	16.210	11.199	-15.774	
-1.907	16.351	33.230	15.999	85.461	16.294	11.208	-15.778	
-1.910	16.351	33.228	16.054	85.459	16.380	11.219	-15.780	
-1.912	16.351	33.224	16.111	85.455	16.467	11.229	-15.778	
-1.915	16.351	33.219	16.172	85.451	16.556	11.240	-15.770	
-1.919	16.351	33.214	16.236	85.445	16.646	11.252	-15.754	
-1.922	16.351	33.207	16.304	85.439	16.738	11.264	-15.730	
-1.925	16.351	33.199	16.376	85.431	16.831	11.276	-15.696	
-1.928	16.351	33.190	16.452	85.421	16.925	11.288	-15.653	
-1.932	16.351	33.180	16.531	85.410	17.020	11.301	-15.605	
-1.935	16.351	33.169	16.613	85.398	17.116	11.315	-15.554	
-1.939	16.351	33.156	16.697	85.385	17.211	11.328	-15.506	
-1.943	16.351	33.142	16.782	85.371	17.307	11.342	-15.463	
-1.947	16.351	33.128	16.866	85.356	17.402	11.356	-15.429	
-1.950	16.351	33.112	16.948	85.339	17.497	11.370	-15.404	
-1.954	16.351	33.096	17.028	85.323	17.590	11.384	-15.388	
-1.959	16.351	33.079	17.106	85.306	17.682	11.398	-15.380	
-1.963	16.351	33.062	17.179	85.288	17.771	11.412	-15.378	
-1.967	16.351	33.045	17.249	85.271	17.858	11.426	-15.380	
-1.971	16.350	33.027	17.316	85.254	17.942	11.439	-15.384	
-1.976	16.350	33.010	17.380	85.237	18.022	11.453	-15.389	
-1.980	16.350	32.992	17.441	85.221	18.098	11.467	-15.393	
-1.985	16.350	32.976	17.499	85.205	18.169	11.480	-15.397	
-1.989	16.350	32.959	17.556	85.190	18.235	11.493	-15.400	
-1.994	16.350	32.944	17.610	85.176	18.296	11.506	-15.401	
-1.999	16.350	32.929	17.663	85.163	18.351	11.518	-15.402	
-2.004	16.350	32.916	17.714	85.150	18.401	11.530	-15.402	
-2.008	16.350	32.903	17.764	85.138	18.446	11.542	-15.401	
-2.013	16.350	32.892	17.813	85.127	18.486	11.553	-15.400	
-2.018	16.350	32.882	17.861	85.117	18.521	11.564	-15.400	
-2.023	16.350	32.873	17.909	85.107	18.552	11.575	-15.399	
-2.028	16.350	32.865	17.958	85.098	18.581	11.585	-15.398	
-2.033	16.350	32.858	18.008	85.089	18.607	11.595	-15.398	
-2.038	16.350	32.852	18.061	85.080	18.632	11.605	-15.398	
-2.044	16.350	32.848	18.116	85.071	18.658	11.614	-15.398	
-2.049	16.350	32.844	18.175	85.061	18.684	11.623	-15.398	
-2.054	16.350	32.842	18.235	85.050	18.713	11.631	-15.398	
-2.059	16.350	32.840	18.297	85.039	18.746	11.640	-15.398	
-2.064	16.350	32.839	18.359	85.026	18.784	11.648	-15.398	
-2.069	16.350	32.838	18.420	85.012	18.827	11.655	-15.398	
-2.075	16.350	32.838	18.477	84.996	18.877	11.663	-15.398	
-2.080	16.350	32.838	18.530	84.979	18.935	11.670	-15.398	
-2.085	16.349	32.839	18.578	84.960	19.000	11.677	-15.398	
-2.090	16.349	32.840	18.618	84.940	19.074	11.684	-15.398	
-2.095	16.349	32.841	18.652	84.918	19.156	11.691	-15.398	
-2.100	16.349	32.843	18.678	84.895	19.246	11.697	-15.398	
-2.106	16.349	32.844	18.697	84.872	19.345	11.704	-15.398	
-2.111	16.349	32.846	18.709	84.848	19.451	11.710	-15.398	
-2.116	16.349	32.848	18.717	84.823	19.564	11.716	-15.398	
-2.121	16.349	32.849	18.719	84.800	19.684	11.722	-15.398	
-2.126	16.349	32.851	18.718	84.776	19.809	11.728	-15.398	
-2.131	16.349	32.852	18.714	84.754	19.939	11.735	-15.398	
-2.136	16.349	32.853	18.709	84.734	20.072	11.741	-15.398	
-2.141	16.349	32.854	18.702	84.715	20.209	11.747	-15.398	
-2.145	16.349	32.855	18.695	84.698	20.347	11.753	-15.398	
-2.150	16.349	32.856	18.688	84.683	20.485	11.759	-15.398	
-2.155	16.349	32.857	18.681	84.670	20.623	11.766	-15.398	
-2.160	16.349	32.857	18.676	84.659	20.760	11.772	-15.398	
-2.164	16.349	32.858	18.672	84.650	20.895	11.779	-15.398	
-2.169	16.349	32.858	18.671	84.644	21.027	11.785	-15.398	
-2.173	16.349	32.858	18.673	84.639	21.156	11.792	-15.398	
-2.178	16.349	32.858	18.678	84.636	21.281	11.799	-15.398	
-2.182	16.349	32.857	18.688	84.634	21.403	11.806	-15.398	
