SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:16:35

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-1.436	16.051	33.547	15.631	84.338	20.778	10.760	-16.929	
-1.443	16.051	33.546	15.684	84.301	20.983	10.776	-16.929	
-1.450	16.051	33.545	15.739	84.264	21.186	10.793	-16.928	
-1.456	16.050	33.544	15.794	84.228	21.389	10.809	-16.927	
-1.462	16.050	33.544	15.851	84.192	21.591	10.826	-16.924	
-1.468	16.050	33.545	15.907	84.156	21.792	10.842	-16.920	
-1.473	16.050	33.545	15.964	84.121	21.991	10.859	-16.914	
-1.478	16.050	33.546	16.021	84.087	22.190	10.876	-16.907	
-1.482	16.050	33.548	16.078	84.053	22.388	10.893	-16.899	
-1.486	16.050	33.549	16.134	84.019	22.586	10.910	-16.889	
-1.490	16.050	33.550	16.190	83.984	22.785	10.928	-16.878	
-1.494	16.050	33.551	16.245	83.950	22.985	10.945	-16.866	
-1.497	16.050	33.552	16.301	83.914	23.187	10.963	-16.854	
-1.500	16.050	33.553	16.356	83.876	23.390	10.982	-16.840	
-1.502	16.050	33.554	16.412	83.837	23.596	11.001	-16.827	
-1.504	16.050	33.554	16.469	83.796	23.803	11.021	-16.813	
-1.506	16.050	33.554	16.526	83.752	24.013	11.041	-16.800	
-1.508	16.050	33.553	16.584	83.705	24.225	11.062	-16.788	
-1.510	16.050	33.552	16.642	83.655	24.438	11.083	-16.776	
-1.511	16.050	33.551	16.702	83.602	24.652	11.105	-16.764	
-1.513	16.050	33.548	16.762	83.546	24.867	11.128	-16.753	
-1.514	16.050	33.545	16.822	83.487	25.083	11.150	-16.743	
-1.515	16.050	33.541	16.883	83.425	25.299	11.173	-16.732	
-1.516	16.050	33.537	16.943	83.361	25.516	11.196	-16.722	
-1.517	16.050	33.531	17.001	83.296	25.731	11.219	-16.712	
-1.519	16.050	33.525	17.058	83.229	25.945	11.242	-16.702	
-1.520	16.050	33.518	17.113	83.162	26.157	11.265	-16.692	
-1.521	16.050	33.511	17.166	83.095	26.367	11.288	-16.682	
-1.523	16.050	33.502	17.217	83.028	26.574	11.311	-16.673	
-1.524	16.050	33.493	17.267	82.963	26.778	11.334	-16.664	
-1.526	16.050	33.484	17.316	82.898	26.978	11.357	-16.655	
-1.528	16.050	33.474	17.366	82.836	27.175	11.379	-16.646	
-1.531	16.050	33.463	17.416	82.775	27.367	11.402	-16.638	
-1.533	16.050	33.452	17.469	82.717	27.557	11.425	-16.630	
-1.536	16.050	33.441	17.524	82.661	27.743	11.447	-16.621	
